1.3.6.1.4.1.311.60.2.1.1 jurL jurisdictionOfIncorporationLocalityName
1.3.6.1.4.1.311.60.2.1.2 jurST jurisdictionOfIncorporationStateOrProvinceName
1.3.6.1.4.1.311.60.2.1.3 jurC jurisdictionOfIncorporationCountryName
